,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
56,56,ACEH,21-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
57,57,ACEH,22-05-2020,1,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
58,58,ACEH,23-05-2020,0,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
59,59,ACEH,24-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
60,60,ACEH,25-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
61,61,ACEH,26-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
62,62,ACEH,27-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
63,63,ACEH,28-05-2020,1,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
64,64,ACEH,29-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
65,65,ACEH,30-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
66,66,ACEH,31-05-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
67,67,ACEH,1/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
68,68,ACEH,2/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
69,69,ACEH,3/6/2020,0,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
70,70,ACEH,4/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
71,71,ACEH,5/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
72,72,ACEH,6/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
73,73,ACEH,7/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
74,74,ACEH,8/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
75,75,ACEH,9/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
76,76,ACEH,10/6/2020,2,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
77,77,ACEH,11/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
78,78,ACEH,12/6/2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
79,79,ACEH,13-06-2020,0,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
80,80,ACEH,14-06-2020,5,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
81,81,ACEH,15-06-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
82,82,ACEH,16-06-2020,0,0,1,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
83,83,ACEH,17-06-2020,10,1,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
84,84,ACEH,18-06-2020,1,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
85,85,ACEH,19-06-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
86,86,ACEH,20-06-2020,1,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
87,87,ACEH,21-06-2020,10,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
88,88,ACEH,22-06-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
89,89,ACEH,23-06-2020,0,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
90,90,ACEH,24-06-2020,4,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
91,91,ACEH,25-06-2020,13,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
92,92,ACEH,26-06-2020,3,0,0,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
93,93,ACEH,27-06-2020,8,0,2,5.316.300,57.956,6.2744496,1.4586943,98.6861879,94.7717124
94,0,BALI,29-03-2020,1,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
95,1,BALI,30-03-2020,9,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
96,2,BALI,31-03-2020,0,0,3,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
97,3,BALI,1/4/2020,6,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
98,4,BALI,2/4/2020,0,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
99,5,BALI,3/4/2020,3,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
100,6,BALI,4/4/2020,5,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
101,7,BALI,5/4/2020,3,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
102,8,BALI,6/4/2020,7,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
103,9,BALI,7/4/2020,0,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
104,10,BALI,8/4/2020,6,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
105,11,BALI,9/4/2020,14,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
106,12,BALI,10/4/2020,12,0,1,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
107,13,BALI,11/4/2020,4,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
108,14,BALI,12/4/2020,2,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
109,15,BALI,13-04-2020,5,0,1,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
110,16,BALI,14-04-2020,6,0,1,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
111,17,BALI,15-04-2020,6,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
112,18,BALI,16-04-2020,15,0,9,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
113,19,BALI,17-04-2020,11,0,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
114,20,BALI,18-04-2020,7,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
115,21,BALI,19-04-2020,4,1,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
116,22,BALI,20-04-2020,5,0,4,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
117,23,BALI,21-04-2020,10,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
118,24,BALI,22-04-2020,2,1,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
119,25,BALI,23-04-2020,15,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
120,26,BALI,24-04-2020,10,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
121,27,BALI,25-04-2020,6,0,13,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
122,28,BALI,26-04-2020,3,0,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
123,29,BALI,27-04-2020,7,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
124,30,BALI,28-04-2020,22,0,7,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
125,31,BALI,29-04-2020,0,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
126,32,BALI,30-04-2020,7,0,17,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
127,33,BALI,1/5/2020,13,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
128,34,BALI,2/5/2020,2,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
129,35,BALI,3/5/2020,25,0,22,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
130,36,BALI,4/5/2020,9,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
131,37,BALI,5/5/2020,6,0,1,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
132,38,BALI,6/5/2020,0,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
133,39,BALI,7/5/2020,10,0,17,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
